,database,sampleID,nframes,wav_path,lips_path,transcription_path,delimiter,text_enc
0,CMU-MOSEAS-Spanish,SP_B1-2U9l-S5JGak_0000,40,../data/CMU-MOSEAS-Spanish/WAVs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0000.wav,../data/CMU-MOSEAS-Spanish/ROIs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0000.npz,../data/CMU-MOSEAS-Spanish/transcriptions/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0000.txt,5,utf-8
1,CMU-MOSEAS-Spanish,SP_B1-2U9l-S5JGak_0001,32,../data/CMU-MOSEAS-Spanish/WAVs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0001.wav,../data/CMU-MOSEAS-Spanish/ROIs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0001.npz,../data/CMU-MOSEAS-Spanish/transcriptions/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0001.txt,5,utf-8
2,CMU-MOSEAS-Spanish,SP_B1-2U9l-S5JGak_0002,183,../data/CMU-MOSEAS-Spanish/WAVs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0002.wav,../data/CMU-MOSEAS-Spanish/ROIs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0002.npz,../data/CMU-MOSEAS-Spanish/transcriptions/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0002.txt,5,utf-8
3,CMU-MOSEAS-Spanish,SP_B1-2U9l-S5JGak_0003,172,../data/CMU-MOSEAS-Spanish/WAVs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0003.wav,../data/CMU-MOSEAS-Spanish/ROIs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0003.npz,../data/CMU-MOSEAS-Spanish/transcriptions/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0003.txt,5,utf-8
4,CMU-MOSEAS-Spanish,SP_B1-2U9l-S5JGak_0004,137,../data/CMU-MOSEAS-Spanish/WAVs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0004.wav,../data/CMU-MOSEAS-Spanish/ROIs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0004.npz,../data/CMU-MOSEAS-Spanish/transcriptions/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0004.txt,5,utf-8
5,CMU-MOSEAS-Spanish,SP_B1-2U9l-S5JGak_0005,61,../data/CMU-MOSEAS-Spanish/WAVs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0005.wav,../data/CMU-MOSEAS-Spanish/ROIs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0005.npz,../data/CMU-MOSEAS-Spanish/transcriptions/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0005.txt,5,utf-8
6,CMU-MOSEAS-Spanish,SP_B1-2U9l-S5JGak_0006,108,../data/CMU-MOSEAS-Spanish/WAVs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0006.wav,../data/CMU-MOSEAS-Spanish/ROIs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0006.npz,../data/CMU-MOSEAS-Spanish/transcriptions/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0006.txt,5,utf-8
7,CMU-MOSEAS-Spanish,SP_B1-2U9l-S5JGak_0007,336,../data/CMU-MOSEAS-Spanish/WAVs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0007.wav,../data/CMU-MOSEAS-Spanish/ROIs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0007.npz,../data/CMU-MOSEAS-Spanish/transcriptions/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0007.txt,5,utf-8
8,CMU-MOSEAS-Spanish,SP_B1-2U9l-S5JGak_0008,196,../data/CMU-MOSEAS-Spanish/WAVs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0008.wav,../data/CMU-MOSEAS-Spanish/ROIs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0008.npz,../data/CMU-MOSEAS-Spanish/transcriptions/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0008.txt,5,utf-8
9,CMU-MOSEAS-Spanish,SP_B1-2U9l-S5JGak_0009,207,../data/CMU-MOSEAS-Spanish/WAVs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0009.wav,../data/CMU-MOSEAS-Spanish/ROIs/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0009.npz,../data/CMU-MOSEAS-Spanish/transcriptions/SP_B1-2U9l-S5JGak/SP_B1-2U9l-S5JGak_0009.txt,5,utf-8
